,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,2 4 8 2 - 4 - T A M A N   B U K I T   K E P A Y A N G   F A S A   F,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-4,",-,2482-4/2295/2005(08),01 Dec 2004,12 Aug 2005,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2482-4,"(195, '2482-4')"
1,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH SESEBUAH,2.5,0,0,0,2,0,"913,888.00","914,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
2,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH BERKEMBAR,2.5,0,0,0,40,2,"462,333.00","643,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
3,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH TERES,2.5,0,0,0,28,1,"343,888.00","475,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
4,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH SESEBUAH,2.5,0,0,0,3,0,"683,888.00","753,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
5,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH BERKEMBAR,2.5,0,0,0,14,3,"618,888.02","806,333.02",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
6,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH TERES,2.5,0,0,0,22,12,"392,888.02","560,888.02",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
7,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH TERES,2.5,0,0,0,13,5,"392,888.01","560,888.01",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
8,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH BERKEMBAR,2.5,0,0,0,8,0,"618,888.01","806,333.01",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
9,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH BERKEMBAR,2,0,0,0,26,0,"330,000.00","450,000.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
10,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH TERES,2.5,0,0,0,26,5,"392,888.00","560,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
11,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH TERES,2.5,0,0,0,11,5,"392,888.03","560,888.03",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
12,2 4 8 2 - 5 - T A M A N   B U K I T   K E P A Y A N G,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-5,",SIAP DENGAN: CFO PENUH,2482-5/1718/2012(08),22 Aug 2011,21 Aug 2012,"RM 330,000.00",0.00mps,RUMAH BERKEMBAR,2.5,0,0,0,8,1,"618,888.00","806,333.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2482-5,"(196, '2482-5')"
13,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2,0,0,151,28,0,"487,888.00","619,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
14,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2,0,0,130,74,8,"474,599.70","764,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
15,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2.5,0,0,155,27,1,"606,333.00","797,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
16,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2,0,0,151,29,1,"402,888.00","568,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
17,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2.5,0,0,153,26,21,"610,333.00","843,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
18,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2,0,0,130,117,108,"572,699.70","838,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
19,"2 4 8 2 - 6 - L O T   8 5 7 9   -   8 6 2 6 ,   8 7 3 6   -   8 8 2 1   &   8 6 2 9   -   8 6 7 8",GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-6,",SIAP DENGAN: CCC PENUH,2482-6/07-2019/02328(P),20 Jul 2018,19 Jul 2019,"RM 402,888.00",130.00mps - 155.24mps,RUMAH TERES,2,0,0,153,24,22,"709,499.70","943,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.719881, 101.907986""]",,https://teduh.kpkt.gov.my/project-swasta/2482-6,"(197, '2482-6')"
20,2 4 8 2 - 7 - K E P A Y A N G   H E I G H T S   2,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-7,",SIAP DENGAN: CCC PENUH,2482-7/11-2022/0377(R)-(L),03 Nov 2019,02 Nov 2022,"RM 1,280,999.70",279.70mps - 593.00mps,RUMAH BERKEMBAR,3,0,0,345,6,6,"1,731,888.00","1,731,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-7,"(198, '2482-7')"
21,2 4 8 2 - 7 - K E P A Y A N G   H E I G H T S   2,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-7,",SIAP DENGAN: CCC PENUH,2482-7/11-2022/0377(R)-(L),03 Nov 2019,02 Nov 2022,"RM 1,280,999.70",279.70mps - 593.00mps,RUMAH BERKEMBAR,3,0,0,372 - 375,4,2,"1,854,333.00","2,046,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-7,"(198, '2482-7')"
22,2 4 8 2 - 7 - K E P A Y A N G   H E I G H T S   2,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-7,",SIAP DENGAN: CCC PENUH,2482-7/11-2022/0377(R)-(L),03 Nov 2019,02 Nov 2022,"RM 1,280,999.70",279.70mps - 593.00mps,RUMAH BERKEMBAR,3,0,0,327 - 593,2,1,"1,886,888.00","1,982,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-7,"(198, '2482-7')"
23,2 4 8 2 - 7 - K E P A Y A N G   H E I G H T S   2,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-7,",SIAP DENGAN: CCC PENUH,2482-7/11-2022/0377(R)-(L),03 Nov 2019,02 Nov 2022,"RM 1,280,999.70",279.70mps - 593.00mps,RUMAH BERKEMBAR,3,0,0,312,14,14,"1,580,333.00","1,595,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-7,"(198, '2482-7')"
24,2 4 8 2 - 7 - K E P A Y A N G   H E I G H T S   2,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-7,",SIAP DENGAN: CCC PENUH,2482-7/11-2022/0377(R)-(L),03 Nov 2019,02 Nov 2022,"RM 1,280,999.70",279.70mps - 593.00mps,RUMAH BERKEMBAR,2,0,0,280 - 372,14,12,"1,280,999.70","1,423,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-7,"(198, '2482-7')"
25,2 4 8 2 - 8 - G U H   P R O P E R T I E S   S D N   B H D,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-8,",PERMIT TELAH DIBATALKAN,2482-8/01-2020/01072(P),26 Jan 2019,25 Jan 2020,"RM 1,423,333.00",0.00mps,RUMAH BERKEMBAR,2,0,0,0,2,2,"1,423,333.00","1,423,333.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-8,"(199, '2482-8')"
26,2 4 8 2 - 8 - G U H   P R O P E R T I E S   S D N   B H D,GUH PROPERTIES SDN. BHD.,2482,2482/08-2027/0609(A),14 Aug 2022,13 Aug 2027,-,-,www.guhproperties.com.my,"2482-8,",PERMIT TELAH DIBATALKAN,2482-8/01-2020/01072(P),26 Jan 2019,25 Jan 2020,"RM 1,423,333.00",0.00mps,RUMAH BERKEMBAR,3,0,0,0,6,6,"1,580,333.00","1,637,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.714566, 101.906782""]",,https://teduh.kpkt.gov.my/project-swasta/2482-8,"(199, '2482-8')"
27,2 5 3 1 - 1 0 - P H A S E   V,LAKSAMANA REALTY SDN. BHD.,2531,2531-26/07-2008/694,07 Jul 2003,06 Jul 2008,-,-,-,"2531-10,",-,-,-,-,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2531-10,"(177, '2531-10')"
28,2 5 3 1 - 1 1 - T A M A N   S E R I   M A N G G A   I,LAKSAMANA REALTY SDN. BHD.,2531,2531-26/07-2008/694,07 Jul 2003,06 Jul 2008,-,-,-,"2531-11,",-,2531/1266/1998(09),20 Sep 1997,19 Sep 1998,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2531-11,"(178, '2531-11')"
29,2 5 3 1 - 1 2 - T A M A N   R A M B A I   U T A M A   F A S A     I,LAKSAMANA REALTY SDN. BHD.,2531,2531-26/07-2008/694,07 Jul 2003,06 Jul 2008,-,-,-,"2531-12,",-,2531/1267/1998(09),20 Sep 1997,19 Sep 1998,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2531-12,"(179, '2531-12')"
30,2 5 3 1 - 1 3 - T A M A N   R A M B A I   U T A M A   F A S A   2,LAKSAMANA REALTY SDN. BHD.,2531,2531-26/07-2008/694,07 Jul 2003,06 Jul 2008,-,-,-,"2531-13,",-,2531/1159/2001(07),07 Jul 2000,06 Jul 2001,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2531-13,"(180, '2531-13')"
