,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,6 5 1 4 - 1 7 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-17,",SIAP DENGAN: CFO PENUH,6514-17/2513/2006(07),23 Dec 2005,16 Jul 2006,"RM 50,000.00",70.15mps,RUMAH TERES,2,0,0,70,80,0,"50,000.00","102,938.00",100.00,SIAP DENGAN: CFO PENUH,"[""1.929901, 102.938343""]",,https://teduh.kpkt.gov.my/project-swasta/6514-17,"(991, '6514-17')"
1,6 5 1 4 - 1 8 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-18,",SIAP DENGAN: CFO PENUH,6514-18/1007/2008(11),23 May 2008,22 Nov 2008,"RM 127,920.00",89.00mps,RUMAH TERES,1,0,0,89,32,0,"127,920.00","191,434.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6514-18,"(992, '6514-18')"
2,6 5 1 4 - 1 8 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-18,",SIAP DENGAN: CFO PENUH,6514-18/1007/2008(11),23 May 2008,22 Nov 2008,"RM 127,920.00",89.00mps,RUMAH TERES,1,0,0,89,192,0,"127,920.00","191,434.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6514-18,"(992, '6514-18')"
3,6 5 1 4 - 1 8 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-18,",SIAP DENGAN: CFO PENUH,6514-18/1007/2008(11),23 May 2008,22 Nov 2008,"RM 127,920.00",89.00mps,RUMAH TERES,1,0,0,89,22,0,"127,920.01","191,434.01",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6514-18,"(992, '6514-18')"
4,6 5 1 4 - 1 8 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-18,",SIAP DENGAN: CFO PENUH,6514-18/1007/2008(11),23 May 2008,22 Nov 2008,"RM 127,920.00",89.00mps,RUMAH TERES,1,0,0,89,22,0,"127,920.00","191,434.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6514-18,"(992, '6514-18')"
5,6 5 1 4 - 1 9 - V I L L A   P E R D A N A,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-19,",-,6514-19/2158/2006(09),14 Sep 2005,13 Sep 2006,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/6514-19,"(993, '6514-19')"
6,6 5 1 4 - 2 0 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-20,",-,-,-,-,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/6514-20,"(994, '6514-20')"
7,6 5 1 4 - 2 1 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-21,",-,-,-,-,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/6514-21,"(995, '6514-21')"
8,6 5 1 4 - 2 2 - B A N D A R   P U T E R A   I N D A H,LBS BINA HOLDINGS SDN. BHD.,6514,6514-17/12-2021/03710(L),28 Dec 2020,27 Dec 2021,-,-,-,"6514-22,",-,-,-,-,"RM 169,828.00",0.00mps,RUMAH TERES,1,0,0,0,166,166,"169,828.00","280,628.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/6514-22,"(996, '6514-22')"
9,6 5 1 5 - 1 - B U K I T   G I T A   B A Y U,YEE SENG HEIGHTS SDN. BHD.,6515,6515-5/02-2015/01272(L),18 Feb 2014,17 Feb 2015,-,-,www.gitabayu.com,"6515-1,",-,6515/1186/2002(08),11 Aug 2001,10 Aug 2002,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/6515-1,"(997, '6515-1')"
