,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,5 7 1 3 - 4 - B A N D A R   B A R U   K L A N G   ( F A S A   4 ),PNSB ACMAR SDN. BHD.,5713,5713-5/10-2019/03048(L),24 Oct 2018,23 Oct 2019,-,-,-,"5713-4,",-,-,-,-,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/5713-4,"(3191, '5713-4')"
1,5 7 1 3 - 5 - P A L M   G A R D E N   A P A R T M E N T,PNSB ACMAR SDN. BHD.,5713,5713-5/10-2019/03048(L),24 Oct 2018,23 Oct 2019,-,-,-,"5713-5,",SIAP DENGAN: CFO PENUH,5713-5/10-2019/03048(P),24 Oct 2018,23 Oct 2019,"RM 42,000.00",0.00mps - 84.54mps,RUMAH PANGSA/KONDO,21,0,0,79,246,115,"126,888.00","185,888.00",100.00,SIAP DENGAN: CFO PENUH,"[""3.066712, 101.457091""]",,https://teduh.kpkt.gov.my/project-swasta/5713-5,"(3192, '5713-5')"
2,5 7 1 3 - 5 - P A L M   G A R D E N   A P A R T M E N T,PNSB ACMAR SDN. BHD.,5713,5713-5/10-2019/03048(L),24 Oct 2018,23 Oct 2019,-,-,-,"5713-5,",SIAP DENGAN: CFO PENUH,5713-5/10-2019/03048(P),24 Oct 2018,23 Oct 2019,"RM 42,000.00",0.00mps - 84.54mps,RUMAH PANGSA/KONDO,13,0,0,0,156,0,"42,000.00","42,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""3.066712, 101.457091""]",,https://teduh.kpkt.gov.my/project-swasta/5713-5,"(3192, '5713-5')"
3,5 7 1 3 - 5 - P A L M   G A R D E N   A P A R T M E N T,PNSB ACMAR SDN. BHD.,5713,5713-5/10-2019/03048(L),24 Oct 2018,23 Oct 2019,-,-,-,"5713-5,",SIAP DENGAN: CFO PENUH,5713-5/10-2019/03048(P),24 Oct 2018,23 Oct 2019,"RM 42,000.00",0.00mps - 84.54mps,RUMAH PANGSA/KONDO,23,0,0,85,352,330,"469,800.00","549,950.00",100.00,SIAP DENGAN: CFO PENUH,"[""3.066712, 101.457091""]",,https://teduh.kpkt.gov.my/project-swasta/5713-5,"(3192, '5713-5')"
4,5 7 1 3 - 5 - P A L M   G A R D E N   A P A R T M E N T,PNSB ACMAR SDN. BHD.,5713,5713-5/10-2019/03048(L),24 Oct 2018,23 Oct 2019,-,-,-,"5713-5,",SIAP DENGAN: CFO PENUH,5713-5/10-2019/03048(P),24 Oct 2018,23 Oct 2019,"RM 42,000.00",0.00mps - 84.54mps,RUMAH PANGSA/KONDO,20,0,0,85,252,75,"126,888.00","185,888.00",100.00,SIAP DENGAN: CFO PENUH,"[""3.066712, 101.457091""]",,https://teduh.kpkt.gov.my/project-swasta/5713-5,"(3192, '5713-5')"
5,5 7 2 1 - 1 - T A M A N   P E K A N   N A N A S,TANAH BENA HOLDING SDN. BHD.,5721,5721-3/03-2017/01509(L),16 Mar 2016,15 Mar 2017,-,-,-,"5721-1,",PERMIT TELAH DIBATALKAN,5721/971/2000(07),16 Jul 1999,15 Jul 2000,"RM 25,000.00",0.00mps,RUMAH TERES,1,0,0,0,55,55,"25,000.00","25,000.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/5721-1,"(3193, '5721-1')"
6,5 7 2 1 - 2 - T M N   S G   A B O N G   B A R U,TANAH BENA HOLDING SDN. BHD.,5721,5721-3/03-2017/01509(L),16 Mar 2016,15 Mar 2017,-,-,-,"5721-2,",-,-,-,-,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/5721-2,"(3194, '5721-2')"
7,5 7 2 1 - 3 - T A M A N   N E N A S,TANAH BENA HOLDING SDN. BHD.,5721,5721-3/03-2017/01509(L),16 Mar 2016,15 Mar 2017,-,-,-,"5721-3,",SIAP DENGAN: CCC PENUH,5721-3/06-2016/01998(P),24 Jun 2015,23 Jun 2016,"RM 248,000.00",74.70mps - 227.20mps,RUMAH TERES,2,0,0,115,13,8,"298,000.00","377,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.294992, 103.312899""]",,https://teduh.kpkt.gov.my/project-swasta/5721-3,"(3195, '5721-3')"
8,5 7 2 1 - 3 - T A M A N   N E N A S,TANAH BENA HOLDING SDN. BHD.,5721,5721-3/03-2017/01509(L),16 Mar 2016,15 Mar 2017,-,-,-,"5721-3,",SIAP DENGAN: CCC PENUH,5721-3/06-2016/01998(P),24 Jun 2015,23 Jun 2016,"RM 248,000.00",74.70mps - 227.20mps,RUMAH TERES,1,0,0,75,8,3,"248,000.00","344,100.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.294992, 103.312899""]",,https://teduh.kpkt.gov.my/project-swasta/5721-3,"(3195, '5721-3')"
9,5 7 2 1 - 3 - T A M A N   N E N A S,TANAH BENA HOLDING SDN. BHD.,5721,5721-3/03-2017/01509(L),16 Mar 2016,15 Mar 2017,-,-,-,"5721-3,",SIAP DENGAN: CCC PENUH,5721-3/06-2016/01998(P),24 Jun 2015,23 Jun 2016,"RM 248,000.00",74.70mps - 227.20mps,RUMAH KEDAI (G),2,0,0,227,12,0,"568,000.00","598,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.294992, 103.312899""]",,https://teduh.kpkt.gov.my/project-swasta/5721-3,"(3195, '5721-3')"
