,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,5 8 8 7 - 1 0 - B A N D A R   C E M E R L A N G,CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-10,",SIAP DENGAN: CCC PENUH,5887-10/12-2019/03320(P),17 Dec 2018,16 Dec 2019,"RM 169,000.00",98.47mps,RUMAH BANDAR,2,0,0,98,324,0,"169,000.00","200,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.623411, 103.816292""]",,https://teduh.kpkt.gov.my/project-swasta/5887-10,"(2796, '5887-10')"
1,5 8 8 7 - 1 1 - B A N D A R   C E M E R L A N G,CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-11,",SIAP DENGAN: CCC PENUH,5887-11/10-2020/03097(P),17 Oct 2019,16 Oct 2020,"RM 655,000.00",247.87mps - 251.12mps,RUMAH TERES,2,0,0,251,151,54,"663,000.00","977,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.623412, 103.816302""]",,https://teduh.kpkt.gov.my/project-swasta/5887-11,"(2797, '5887-11')"
2,5 8 8 7 - 1 1 - B A N D A R   C E M E R L A N G,CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-11,",SIAP DENGAN: CCC PENUH,5887-11/10-2020/03097(P),17 Oct 2019,16 Oct 2020,"RM 655,000.00",247.87mps - 251.12mps,RUMAH TERES,2,0,0,248,117,48,"655,000.00","946,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.623412, 103.816302""]",,https://teduh.kpkt.gov.my/project-swasta/5887-11,"(2797, '5887-11')"
3,5 8 8 7 - 1 2 - B A N D A R   C E M E R L A N G,CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-12,",SIAP DENGAN: CCC PENUH,5887-12/02-2024/0266(R)-(L),27 Feb 2023,26 Feb 2024,"RM 690,000.00",217.58mps - 289.58mps,RUMAH KLUSTER,2,0,0,218 - 257,92,21,"690,000.00","1,141,100.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.623412, 103.816302""]",,https://teduh.kpkt.gov.my/project-swasta/5887-12,"(2798, '5887-12')"
4,5 8 8 7 - 1 2 - B A N D A R   C E M E R L A N G,CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-12,",SIAP DENGAN: CCC PENUH,5887-12/02-2024/0266(R)-(L),27 Feb 2023,26 Feb 2024,"RM 690,000.00",217.58mps - 289.58mps,RUMAH BERKEMBAR,2,0,0,290,14,3,"928,000.00","10,833,500.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.623412, 103.816302""]",,https://teduh.kpkt.gov.my/project-swasta/5887-12,"(2798, '5887-12')"
5,5 8 8 7 - 1 3 - B A N D A R   C E M E R L A N G,CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-13,",BERJALAN LANCAR,5887-13/10-2024/1648(R)-(L),21 Oct 2023,20 Oct 2024,"RM 828,000.00","237.64mps - 2,558.00mps",RUMAH KLUSTER,2,0,0,"238 - 2,558",124,20,"828,000.00","1,176,000.00",91.45,BERJALAN LANCAR,"[""1.621439, 103.810160""]",,https://teduh.kpkt.gov.my/project-swasta/5887-13,"(2799, '5887-13')"
6,5 8 8 7 - 5 - C R E S C E N D O   D E V E L O P M E N T   S D N   B H D   ( 2 0 4 0 7 9 - D ),CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-5,",-,-,-,-,"RM 263,800.00",0.00mps,RUMAH TERES,2,0,0,0,70,70,"263,800.00","419,320.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/5887-5,"(2791, '5887-5')"
7,5 8 8 7 - 5 - C R E S C E N D O   D E V E L O P M E N T   S D N   B H D   ( 2 0 4 0 7 9 - D ),CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-5,",-,-,-,-,"RM 263,800.00",0.00mps,RUMAH TERES,3,0,0,0,87,87,"328,800.00","411,130.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/5887-5,"(2791, '5887-5')"
8,5 8 8 7 - 5 - C R E S C E N D O   D E V E L O P M E N T   S D N   B H D   ( 2 0 4 0 7 9 - D ),CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-5,",-,-,-,-,"RM 263,800.00",0.00mps,RUMAH TERES,2,0,0,0,10,10,"270,100.00","358,070.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/5887-5,"(2791, '5887-5')"
9,5 8 8 7 - 5 - C R E S C E N D O   D E V E L O P M E N T   S D N   B H D   ( 2 0 4 0 7 9 - D ),CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-5,",-,-,-,-,"RM 263,800.00",0.00mps,RUMAH TERES,3,0,0,0,77,77,"328,800.00","423,450.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/5887-5,"(2791, '5887-5')"
10,5 8 8 7 - 5 - C R E S C E N D O   D E V E L O P M E N T   S D N   B H D   ( 2 0 4 0 7 9 - D ),CRESCENDO DEVELOPMENT SDN. BHD.,5887,5887/10-2028/1303(A),21 Oct 2023,20 Oct 2028,-,-,-,"5887-5,",-,-,-,-,"RM 263,800.00",0.00mps,RUMAH TERES,2,0,0,0,155,155,"263,800.00","348,550.00",0.00,BELUM MULA,,,https://teduh.kpkt.gov.my/project-swasta/5887-5,"(2791, '5887-5')"
