,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,7 9 6 7 - 1 - T A M A N   I M P I A N,CHAN SEONG DEVELOPMENT SDN. BHD.,7967,7967-2/01-2010/37,11 Jan 2007,10 Jan 2010,09-2665115,-,-,"7967-1,",-,7967/1266/2001(07),29 Jul 2000,28 Jul 2001,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/7967-1,"(84, '7967-1')"
1,7 9 6 7 - 2 - T A M A N   S A U J A N A   I D A M A N,CHAN SEONG DEVELOPMENT SDN. BHD.,7967,7967-2/01-2010/37,11 Jan 2007,10 Jan 2010,09-2665115,-,-,"7967-2,",SIAP DENGAN: CFO PENUH,7967-2/266/2009(02),15 Feb 2008,14 Feb 2009,"RM 60,000.00",0.00mps,RUMAH TERES,1,0,0,0,27,27,"60,000.00","69,682.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7967-2,"(85, '7967-2')"
2,7 9 6 7 - 2 - T A M A N   S A U J A N A   I D A M A N,CHAN SEONG DEVELOPMENT SDN. BHD.,7967,7967-2/01-2010/37,11 Jan 2007,10 Jan 2010,09-2665115,-,-,"7967-2,",SIAP DENGAN: CFO PENUH,7967-2/266/2009(02),15 Feb 2008,14 Feb 2009,"RM 60,000.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,8,8,"225,000.00","250,200.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7967-2,"(85, '7967-2')"
3,7 9 6 7 - 2 - T A M A N   S A U J A N A   I D A M A N,CHAN SEONG DEVELOPMENT SDN. BHD.,7967,7967-2/01-2010/37,11 Jan 2007,10 Jan 2010,09-2665115,-,-,"7967-2,",SIAP DENGAN: CFO PENUH,7967-2/266/2009(02),15 Feb 2008,14 Feb 2009,"RM 60,000.00",0.00mps,RUMAH SESEBUAH,1,0,0,0,4,4,"330,000.00","351,470.00",91.50,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7967-2,"(85, '7967-2')"
4,7 9 6 7 - 2 - T A M A N   S A U J A N A   I D A M A N,CHAN SEONG DEVELOPMENT SDN. BHD.,7967,7967-2/01-2010/37,11 Jan 2007,10 Jan 2010,09-2665115,-,-,"7967-2,",SIAP DENGAN: CFO PENUH,7967-2/266/2009(02),15 Feb 2008,14 Feb 2009,"RM 60,000.00",0.00mps,RUMAH TERES,1,0,0,0,110,110,"118,000.00","224,530.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7967-2,"(85, '7967-2')"
5,7 9 6 7 - 2 - T A M A N   S A U J A N A   I D A M A N,CHAN SEONG DEVELOPMENT SDN. BHD.,7967,7967-2/01-2010/37,11 Jan 2007,10 Jan 2010,09-2665115,-,-,"7967-2,",SIAP DENGAN: CFO PENUH,7967-2/266/2009(02),15 Feb 2008,14 Feb 2009,"RM 60,000.00",0.00mps,RUMAH TERES,2,0,0,0,16,16,"188,000.00","284,310.00",5.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7967-2,"(85, '7967-2')"
6,7 9 6 8 - 1 - T A M A N   I N D E R A   P U T E R A,TERAJU MAMPAN (M) SDN. BHD.,7968,7968/10-2003/1176,30 Oct 2000,29 Oct 2003,-,-,-,"7968-1,",-,7968-1/2136/2003(07),09 Oct 2002,30 Jul 2003,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/7968-1,"(86, '7968-1')"
7,7 9 6 8 - 2 - T A M A N   I N D E R A   P U T E R A   -   F A S A   2,TERAJU MAMPAN (M) SDN. BHD.,7968,7968/10-2003/1176,30 Oct 2000,29 Oct 2003,-,-,-,"7968-2,",-,7968-2/2466/2003(10),21 Nov 2002,29 Oct 2003,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/7968-2,"(87, '7968-2')"
8,7 9 6 9 - 1 - T A M A N   M E S R A,CERIA CEMERLANG SENDIRIAN BERHAD,7969,7969-5/01-2011/12,07 Jan 2008,06 Jan 2011,04-4213862,-,-,"7969-1,",-,7969/2220/2002(11),21 Nov 2001,20 Nov 2002,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/7969-1,"(88, '7969-1')"
9,7 9 6 9 - 2 - T A M A N   M A H A M E R U   I N D A H,CERIA CEMERLANG SENDIRIAN BERHAD,7969,7969-5/01-2011/12,07 Jan 2008,06 Jan 2011,04-4213862,-,-,"7969-2,",-,7969-2/2113/2004(09),26 Sep 2003,25 Sep 2004,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/7969-2,"(89, '7969-2')"
