,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,107,23,0,"98,800.00","152,252.92",100.00,SIAP DENGAN: CFO PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
1,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,55,79,0,"25,000.00","25,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
2,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,153,15,-1,"112,446.89","112,446.89",100.00,SIAP DENGAN: CCC PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
3,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,107,44,0,"120,000.00","120,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
4,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,55,12,0,"25,000.00","32,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
5,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,55,57,3,"25,000.00","32,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
6,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,107,20,0,"113,800.00","184,116.00",100.00,SIAP DENGAN: CFO PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
7,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,112,10,0,"110,800.00","132,110.61",100.00,SIAP DENGAN: CFO PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
8,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH TERES,1,0,0,107,15,0,"120,000.01","120,000.01",100.00,SIAP DENGAN: CCC PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
9,4 8 1 6 - 1 - T A M A N   N Y I O R   T A P A K     D,JASMAI JAYA SDN. BHD.,4816,4816-1/11-2018/02725(L),09 Nov 2017,08 Nov 2018,-,-,-,"4816-1,",SIAP DENGAN: CCC PENUH,4816-1/1366/2012(05),28 Jun 2011,14 May 2012,"RM 25,000.00",54.62mps - 321.30mps,RUMAH BERKEMBAR,1,0,0,321,6,0,"150,000.00","150,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.710335, 101.955339""]",,https://teduh.kpkt.gov.my/project-swasta/4816-1,"(255, '4816-1')"
